exchange,market_type,exchange_symbol,ccxt_symbol,ccxt_id,base_asset,quote_asset,settle,canonical_symbol,asset_class,verified,pair_data_class,status,tick_size,lot_size,min_order_size,min_order_notional,max_market_order_size,max_market_order_notional,max_position_size,max_position_notional,quantity_multiplier,price_multiplier
BINANCE,UPERP,AAPLUSDT,AAPL/USDT:USDT,AAPLUSDT,AAPL,USDT,USDT,AAPL,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
BINANCE,UPERP,AMDUSDT,AMD/USDT:USDT,AMDUSDT,AMD,USDT,USDT,AMD,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
BINANCE,UPERP,AMZNUSDT,AMZN/USDT:USDT,AMZNUSDT,AMZN,USDT,USDT,AMZN,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
BINANCE,UPERP,ANTHROPICUSDT,ANTHROPIC/USDT:USDT,ANTHROPICUSDT,ANTHROPIC,USDT,USDT,ANTHROPIC,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,6000.0,Infinity,6000.0,Infinity,1,1
BINANCE,UPERP,ARMUSDT,ARM/USDT:USDT,ARMUSDT,ARM,USDT,USDT,ARM,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,4000.0,Infinity,4000.0,Infinity,1,1
BINANCE,UPERP,ASTSUSDT,ASTS/USDT:USDT,ASTSUSDT,ASTS,USDT,USDT,ASTS,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,40000.0,Infinity,40000.0,Infinity,1,1
BINANCE,UPERP,AVGOUSDT,AVGO/USDT:USDT,AVGOUSDT,AVGO,USDT,USDT,AVGO,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,2000.0,Infinity,2000.0,Infinity,1,1
BINANCE,UPERP,BABAUSDT,BABA/USDT:USDT,BABAUSDT,BABA,USDT,USDT,BABA,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
BINANCE,UPERP,BBXUSDT,BBX/USDT:USDT,BBXUSDT,BBX,USDT,USDT,BBX,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,400000.0,Infinity,400000.0,Infinity,1,1
BINANCE,UPERP,BEUSDT,BE/USDT:USDT,BEUSDT,BE,USDT,USDT,BE,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,4000.0,Infinity,4000.0,Infinity,1,1
BINANCE,UPERP,BRKBUSDT,BRKB/USDT:USDT,BRKBUSDT,BRKB,USDT,USDT,BRKB,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
BINANCE,UPERP,BTCDOMUSDT,BTCDOM/USDT:USDT,BTCDOMUSDT,BTCDOM,USDT,USDT,BTCDOM,TRADEFI,true,,TRADING,0.1,0.001,0.001,5.0,10000.0,Infinity,10000.0,Infinity,1,1
BINANCE,UPERP,BZUSDT,BZ/USDT:USDT,BZUSDT,BZ,USDT,USDT,BZ,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,200000.0,Infinity,200000.0,Infinity,1,1
BINANCE,UPERP,CBRSUSDT,CBRS/USDT:USDT,CBRSUSDT,CBRS,USDT,USDT,CBRS,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
BINANCE,UPERP,CLUSDT,CL/USDT:USDT,CLUSDT,CL,USDT,USDT,CL,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,400000.0,Infinity,400000.0,Infinity,1,1
BINANCE,UPERP,COHRUSDT,COHR/USDT:USDT,COHRUSDT,COHR,USDT,USDT,COHR,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,3000.0,Infinity,3000.0,Infinity,1,1
BINANCE,UPERP,COINUSDT,COIN/USDT:USDT,COINUSDT,COIN,USDT,USDT,COIN,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
BINANCE,UPERP,COPPERUSDT,COPPER/USDT:USDT,COPPERUSDT,COPPER,USDT,USDT,COPPER,TRADEFI,true,class1,TRADING,0.001,0.1,0.1,5.0,600000.0,Infinity,600000.0,Infinity,1,1
BINANCE,UPERP,CRCLUSDT,CRCL/USDT:USDT,CRCLUSDT,CRCL,USDT,USDT,CRCL,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,50000.0,Infinity,50000.0,Infinity,1,1
BINANCE,UPERP,CRWVUSDT,CRWV/USDT:USDT,CRWVUSDT,CRWV,USDT,USDT,CRWV,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
BINANCE,UPERP,CSCOUSDT,CSCO/USDT:USDT,CSCOUSDT,CSCO,USDT,USDT,CSCO,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
BINANCE,UPERP,DEFIUSDT,DEFI/USDT:USDT,DEFIUSDT,DEFI,USDT,USDT,DEFI,TRADEFI,true,,UNTRADABLE,0.1,0.001,0.001,5.0,10000.0,Infinity,10000.0,Infinity,1,1
BINANCE,UPERP,DISUSDT,DIS/USDT:USDT,DISUSDT,DIS,USDT,USDT,DIS,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
