exchange,market_type,exchange_symbol,ccxt_symbol,ccxt_id,base_asset,quote_asset,settle,canonical_symbol,asset_class,verified,pair_data_class,status,tick_size,lot_size,min_order_size,min_order_notional,max_market_order_size,max_market_order_notional,max_position_size,max_position_notional,quantity_multiplier,price_multiplier
BITGET,UPERP,AAOIUSDT,AAOI/USDT:USDT,AAOIUSDT,AAOI,USDT,USDT,AAOI,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,AAPLUSDT,AAPL/USDT:USDT,AAPLUSDT,AAPL,USDT,USDT,AAPL,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,ACHRUSDT,ACHR/USDT:USDT,ACHRUSDT,ACHR,USDT,USDT,ACHR,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,ADBEUSDT,ADBE/USDT:USDT,ADBEUSDT,ADBE,USDT,USDT,ADBE,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,ADVANTESTUSDT,ADVANTEST/USDT:USDT,ADVANTESTUSDT,ADVANTEST,USDT,USDT,ADVANTEST,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,AMATUSDT,AMAT/USDT:USDT,AMATUSDT,AMAT,USDT,USDT,AMAT,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,AMCUSDT,AMC/USDT:USDT,AMCUSDT,AMC,USDT,USDT,AMC,TRADEFI,true,class1,TRADING,0.0001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,AMDUSDT,AMD/USDT:USDT,AMDUSDT,AMD,USDT,USDT,AMD,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,AMZNUSDT,AMZN/USDT:USDT,AMZNUSDT,AMZN,USDT,USDT,AMZN,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,ANTHROPICUSDT,ANTHROPIC/USDT:USDT,ANTHROPICUSDT,ANTHROPIC,USDT,USDT,ANTHROPIC,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
